"","birth_yr","registered_voter","gender","race_eth","educ","pid7","ideology","income","facets_1","facets_2","facets_3","facets_4","facets_5","facets_6","facets_7","facets_8","facets_9","facets_10","facets_11","facets_12","facets_13","facets_14","facets_15","facets_16","facets_17","facets_18","facets_19","facets_20","big_five_1","big_five_2","big_five_3","big_five_4","big_five_5","big_five_6","big_five_7","big_five_8","big_five_9","big_five_10","vote","prefered_candidate","talk_politics","display_sign","persuade_vote","donate","written_politician","vote_2012","abortion","birth_citizenship","gay_marriage","affirmative_action","guns","global_warming","anger","breakfast_control","anger_politics","salience","cand_strong_position","compromise","blame_other_party","govt_corrupt","govt_unresponsive","govt_satisfied","vote_likelihood_2016","talk_about_2016","donate_likelihood16","display_yard_sign16","work_campaign16","attend_rally16"
"1337","1985","1","2","3","4","7","6","11","4","4","4","5","4","2","2","2","2","4","3","3","3","3","3","2","2","3","3","-99","4","4","4","4","5","4","6","3","4","4","1","18","2","2","1","2","2","1","2","1","2","3","2","1","","","","When there were these mass shootings, I thought about politics because I believe they happened in order to create chaos.. and outrage the public to help pass certain laws.","4","3","4","10","9","1","1","2","4","4","4","4"
"1338","1953","1","1","1","4","5","4","14","2","2","2","2","2","2","4","4","4","4","2","2","2","2","3","3","3","3","3","2","4","5","5","3","5","4","3","4","4","3","1","6","3","2","2","2","2","1","4","3","1","4","2","2","","banana / nothing","","","4","3","4","8","8","2","1","3","7","7","7","7"
"1339","1982","1","1","1","3","4","4","1","1","1","1","1","1","1","1","1","5","1","5","5","5","1","1","1","1","1","1","1","1","7","7","7","1","7","1","1","7","7","2","-99","1","2","2","2","2","2","4","1","2","4","3","3","","Did not eat breakfast.","","","3","5","3","10","10","0","4","7","7","7","7","7"
"1340","1956","1","1","1","1","2","2","1","3","4","2","2","3","3","4","3","3","3","3","3","3","3","3","3","4","3","3","3","2","4","4","4","4","5","4","2","4","4","1","18","1","2","2","2","2","1","4","1","1","2","3","2","","","hillary clinton lying about her e-mails.","","1","2","2","8","8","2","1","5","6","6","6","5"
"1341","1946","1","2","1","5","2","4","5","5","4","4","4","4","1","2","2","4","3","2","4","3","2","2","4","3","3","3","3","4","2","6","5","5","6","7","2","6","6","1","1","4","2","2","2","2","1","4","2","1","1","1","2","no","","","","1","3","7","3","3","1","4","4","6","7","7","4"
"1342","1961","1","2","1","1","6","5","15","2","4","4","2","2","4","4","4","4","4","4","4","2","4","4","4","3","3","3","3","5","3","6","4","6","3","5","2","4","2","1","18","1","2","2","2","2","1","3","1","1","4","1","2","","","Being passed up for a promotion because they needed to fill a minority spot","","2","1","5","7","-99","2","1","7","7","7","7","7"
"1343","1978","1","1","1","3","2","2","6","4","3","3","3","3","2","3","4","4","3","2","4","2","3","2","3","2","3","4","4","4","4","5","5","3","6","6","3","4","1","2","-99","3","2","1","2","2","1","4","2","1","3","1","1","","","","no thank you","2","2","4","7","2","2","1","3","7","6","7","7"
"1344","1983","1","2","1","2","3","2","6","3","1","2","2","1","4","5","4","3","4","2","2","2","1","2","3","2","3","4","4","6","1","5","2","7","3","6","4","6","3","1","2","1","2","2","2","2","1","4","2","1","3","1","1","When my stepbrother was convicted of molestation. He was ordered to pay restitution. However in Iowa people are not forced to pay it unless they are taken to civil court. I felt angry & used. I struggled to pay my bills while he has a high paying job. Yet he couldn't pay $75 a month to me.","","","","3","2","6","4","8","3","1","3","7","7","7","7"
"1345","1961","1","2","1","1","3","2","10","3","5","3","4","3","3","5","1","1","4","2","2","2","2","1","1","2","2","5","5","6","4","4","2","3","5","7","2","7","2","1","2","1","2","2","2","2","1","2","2","3","2","1","2","","","When they say they are going to approve something and they do not do it","","4","2","2","9","10","10","2","2","7","5","7","4"
"1346","1972","1","2","1","2","2","2","8","4","2","2","3","3","3","3","3","2","1","-99","3","3","2","1","4","4","4","4","4","1","1","7","2","5","6","7","1","6","2","1","2","1","2","2","2","2","1","4","2","1","1","1","1","","","Just this past week.  The issues with Trump and how certain people will support a party candidate no matter whatbthey say or do.  Politics is more like reality TV now a days then people really wanting to do things that help this country.","","1","1","6","8","9","0","1","7","7","7","7","7"
