"","birth_yr","registered_voter","gender","race_eth","educ","pid7","ideology","income","facets_1","facets_2","facets_3","facets_4","facets_5","facets_6","facets_7","facets_8","facets_9","facets_10","facets_11","facets_12","facets_13","facets_14","facets_15","facets_16","facets_17","facets_18","facets_19","facets_20","big_five_1","big_five_2","big_five_3","big_five_4","big_five_5","big_five_6","big_five_7","big_five_8","big_five_9","big_five_10","vote","prefered_candidate","talk_politics","display_sign","persuade_vote","donate","written_politician","vote_2012","abortion","birth_citizenship","gay_marriage","affirmative_action","guns","global_warming","anger","breakfast_control","anger_politics","salience","cand_strong_position","compromise","blame_other_party","govt_corrupt","govt_unresponsive","govt_satisfied","vote_likelihood_2016","talk_about_2016","donate_likelihood16","display_yard_sign16","work_campaign16","attend_rally16"
"2","1990","1","2","2","6","2","1","2","5","2","3","4","3","3","5","4","2","4","2","3","3","4","2","4","3","4","3","2","3","3","4","2","2","3","4","1","1","2","2","2","1","1","1","2","1","2","1","2","2","3","1","3","","","The best","","3","2","5","8","9","7","4","5","2","5","2","6"
"3","1980","1","1","1","6","1","1","14","5","4","5","4","5","5","4","4","5","3","2","1","2","3","4","5","4","5","4","5","7","6","7","6","7","6","7","6","7","7","1","1","4","1","1","2","1","1","1","1","1","2","1","2","","","Yes","","1","1","3","9","8","9","2","2","1","1","2","1"
"4","1985","1","1","1","6","2","2","11","4","5","5","5","4","4","5","4","4","4","4","4","5","5","4","5","5","5","5","4","6","7","7","6","6","6","7","6","7","7","1","1","3","1","1","1","1","1","1","1","2","2","2","1","","Good","","","2","1","2","9","9","10","1","1","2","2","3","1"
"5","1978","1","1","1","2","3","3","7","4","2","2","2","3","4","4","4","3","5","3","4","3","2","3","4","4","4","4","2","5","3","6","2","7","4","5","3","6","2","2","1","2","2","2","2","2","1","4","3","2","2","1","2","","","I am upset that Trump was elected as the Republican candidate. It makes out country look like a joke.","","3","3","6","5","5","4","2","4","7","7","6","6"
"6","1995","1","2","2","2","1","1","1","5","1","1","1","1","5","5","1","5","5","1","1","1","1","1","1","1","-99","5","1","1","4","1","1","7","7","7","1","7","1","1","1","2","2","2","2","2","2","1","2","1","1","1","1","","I ate some cereal.","","","1","1","1","10","10","10","1","1","1","1","1","1"
"7","1979","1","2","1","5","2","2","11","5","4","5","4","5","4","5","4","1","4","2","2","1","2","1","4","2","1","4","4","7","6","6","6","7","6","7","2","7","6","1","1","4","1","2","2","2","1","1","1","1","2","3","1","","","","The policy should govern for citizens","2","1","1","3","6","7","2","2","4","3","3","3"
"8","1993","1","1","1","1","1","1","12","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","Excellent","","","2","1","1","6","7","8","1","2","1","1","1","1"
"9","1986","1","2","1","2","3","1","7","5","4","4","5","4","2","2","2","2","4","4","4","5","3","4","2","2","2","3","3","7","5","6","7","6","1","6","5","5","4","1","2","3","2","1","1","1","1","4","1","1","2","1","1","I keep getting forced overtime. For 16 weeks straight. With little to no work to do. I feel disrespected and unappreciated. I cant get what i need to accomplished at home because my job haa no respect for my personal life","","","","2","2","6","9","7","3","1","1","3","7","6","6"
"10","1981","1","1","1","6","1","1","10","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","7","7","6","6","7","7","6","7","7","7","2","8","4","1","1","1","2","1","2","1","1","1","1","1","","dghghdhdgghddgh","","","1","1","1","9","8","9","2","1","2","1","2","1"
"11","1984","1","2","1","4","1","1","7","5","2","2","3","2","5","4","4","5","5","3","3","3","2","3","3","4","3","5","4","7","7","7","5","6","4","5","6","6","3","1","1","-99","-99","-99","2","2","1","2","2","1","3","1","1","I feel very angry when the things don't going in the way I want","","","","1","1","7","2","2","7","1","1","3","1","2","2"
"12","1988","1","2","1","5","6","6","13","5","2","3","4","4","2","3","3","3","3","2","4","4","2","2","2","2","2","5","3","1","3","7","5","5","7","7","3","5","5","2","18","3","2","2","2","2","1","2","1","2","4","3","4","","","I feel angry every year when people that don't deserve it get supported by the enormous taxes I pay every year.","","2","4","2","7","7","0","1","3","7","7","7","3"
"13","1945","1","2","1","1","5","5","8","3","1","1","1","2","-99","4","3","5","4","1","1","1","1","1","1","4","4","4","4","6","1","7","2","6","2","7","5","7","2","2","7","5","2","2","2","2","1","1","2","2","3","3","2","","Cream of wheat and toast and coffee. I felt satisfied and happy","","","2","3","4","10","10","1","1","7","7","7","7","7"
"14","1960","1","1","1","1","2","4","4","2","1","5","5","4","2","3","5","1","3","1","3","5","2","4","4","2","4","4","1","6","3","6","3","6","7","4","2","3","2","2","18","1","2","2","-99","2","2","2","3","1","2","3","4","","","","I have no opinion on politics its all very crazy","2","3","6","9","8","1","3","6","7","7","7","7"
"15","1981","1","2","6","3","3","2","1","4","2","1","3","2","3","5","2","3","3","2","2","2","1","2","4","4","3","4","3","1","2","5","2","5","7","6","2","7","1","1","2","2","2","1","2","1","1","4","2","1","2","1","1","","","","Most often I have thought about politics when talking with my parents and it makes me feel a little nervous and surprised. My parents are not the same race as me and so I feel they don't entirely grasp some issues and fears about current politics. It's frustrating and worry some that they only get their information from one or two sources and I'm not really sure how much they bother to look into issues with past political candidates. It feels frustrating when it seems like someone is just voting for someone because of their party, or because they are a big name, or because they are part of a legacy of politicians and it's less about their actual political beliefs, ideas, and plans. ","4","2","4","7","6","5","4","5","7","7","7","7"
"16","1982","1","2","1","6","1","3","13","3","2","2","1","1","1","4","5","5","5","1","1","1","1","1","5","3","5","5","5","7","5","7","1","7","7","7","2","7","2","1","1","4","2","1","1","2","1","1","2","1","1","1","1","","","","pollitics shoul be hange the world no control the world","2","1","1","4","2","2","1","3","1","4","1","1"
"17","1973","1","2","2","2","1","5","10","3","2","2","3","4","4","5","4","4","4","1","2","1","2","1","4","4","3","5","5","2","2","6","-99","7","7","7","1","6","2","1","1","4","1","1","2","1","1","4","2","3","2","1","2","","","Well there was a time not to long ago where I was discussing the debate for the Republicans and I felt that some of the responses were a little harsh in nature.I believe everyone has a freedom to speak their opinion and the people involved in this discussion felt like the were right without considering others view point.","","1","2","4","7","8","8","1","1","3","1","2","1"
"18","1961","1","2","1","4","7","7","5","3","1","1","1","1","4","4","4","3","3","1","1","1","1","1","4","4","4","4","4","4","1","7","1","4","4","7","2","7","3","1","17","2","2","1","2","2","1","1","1","2","4","3","4","","I had Cheerios and coffee.  I felt good while I was eating breakfast.  I did start reading a book I'm not sure I'll finish because I don't like the main character.  I enjoyed being able to have a leisurely breakfast where I could take time to read.","","","2","5","4","6","7","2","1","2","7","7","7","6"
"19","1981","1","1","1","4","1","2","10","4","4","5","4","5","3","4","4","5","3","4","4","3","4","5","4","3","5","5","3","6","6","6","5","7","7","7","4","6","6","1","1","6","2","1","2","2","1","2","2","1","1","2","1","","","","I think politicians should be more human, think more Americans than in his own person","4","1","3","3","2","10","1","2","5","5","4","4"
"20","1954","1","1","1","4","4","2","10","2","1","1","1","1","4","5","4","5","5","1","1","1","1","1","5","5","5","5","5","7","5","7","1","6","2","5","2","6","2","1","2","2","2","2","2","2","1","4","1","3","4","2","1","","Oatmeal with strawberries, milk and an orange juice chaser!!!","","","1","1","4","8","8","0","1","1","7","7","7","7"
"21","1982","1","1","1","2","1","4","10","3","3","2","3","3","3","4","4","3","4","3","3","3","3","3","3","3","3","4","4","6","4","6","3","6","6","6","2","6","4","1","1","4","1","1","2","2","1","2","2","1","2","1","1","","",""," / I would like all parties, beyond discuss, seek solutions to problems and the life of everyone is respected","2","3","3","5","6","6","3","1","3","2","2","2"
"22","1959","1","1","1","5","7","6","8","4","5","2","1","2","3","4","4","3","4","2","2","2","2","2","2","2","2","4","3","6","2","6","2","6","2","5","1","6","4","1","18","8","2","1","1","1","1","4","1","3","4","3","3","A social group I am in was hosting a dinner. There were five of us doing the work. The dinner was served and the guests were happy. During the clean up, I turned around and all of the others were nowhere to be found. The kitchen was still a mess and it could not wait until morning as there is breakfast served in the morning. I had to stay extra to get everything done. I was so mad that I told them I would never help with a dinner again.","","","","1","4","4","10","10","0","1","1","1","1","2","1"
"23","1982","1","1","1","5","1","7","10","5","4","5","4","5","4","5","4","5","5","5","5","4","5","4","5","4","5","4","4","6","5","6","5","6","5","6","5","6","5","1","1","4","1","1","1","1","1","3","1","2","1","2","2","","good","","","1","1","1","10","10","10","1","2","1","2","3","3"
"24","1982","1","1","1","1","3","2","7","3","3","4","5","4","3","2","3","2","3","4","4","5","4","4","3","2","3","3","4","7","6","5","4","3","4","5","4","5","6","1","1","3","1","1","1","2","1","2","1","1","2","2","2","none","","","","2","2","2","7","6","6","2","2","3","2","4","3"
"25","1980","1","1","1","1","1","7","12","1","2","2","1","1","2","1","2","1","2","1","2","2","1","1","2","1","1","2","1","7","7","6","6","7","7","7","6","6","7","1","1","3","1","1","1","1","1","1","1","1","3","1","1","","","Excellent","","1","1","2","8","9","8","1","1","1","2","2","1"
"26","1952","1","2","1","3","6","5","10","2","1","1","2","1","4","4","4","4","4","1","1","1","1","1","4","4","4","4","4","6","1","6","1","6","2","7","1","6","3","1","18","3","2","2","2","2","1","3","1","2","4","3","4","","","","","1","3","4","9","9","0","1","1","4","4","4","4"
"27","1978","1","2","1","1","4","5","3","5","3","3","4","4","2","2","2","2","3","4","4","4","4","4","2","2","2","3","3","2","4","4","6","4","6","6","4","3","4","2","10","1","2","2","2","2","2","2","3","3","4","3","3","","","","I hate politics. I think all the candidates are a joke. I will choose to elect Trump just to keep Hillary out.","2","4","4","9","9","0","2","4","7","7","7","7"
"28","1990","1","2","1","2","1","1","1","4","4","2","4","1","3","3","4","3","2","3","4","3","4","4","2","2","2","4","2","5","5","4","5","6","6","6","2","4","3","1","2","3","1","1","1","2","2","2","2","1","2","1","2","","I ate potato's and bacon with a little bit of ketchup. I was upset that I couldn't cook them seperate but I'm poor. I felt that the flavor was a little off. And I felt really bad for my kids who had to eat this crap / ","","","1","2","2","8","7","4","1","5","2","2","7","3"
"29","1948","1","1","1","4","7","6","10","4","3","3","4","4","3","4","3","3","3","2","2","2","1","3","3","3","3","2","2","6","2","7","4","5","4","6","6","7","2","1","18","6","2","1","2","1","1","2","1","3","3","3","4","","","","","1","1","2","10","10","0","1","1","2","2","4","2"
"30","1980","1","1","1","5","1","1","11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","4","1","2","1","1","1","1","1","2","1","1","1","","","I have no words","","1","1","1","10","10","10","1","1","1","1","1","1"
"31","1985","1","1","5","1","1","1","3","5","5","5","5","5","4","4","5","3","4","5","5","4","4","5","5","5","5","5","4","7","3","7","7","7","7","7","7","7","7","1","1","1","1","1","1","1","2","2","1","1","1","2","3","","Sandwichs of egg","","","1","1","2","10","10","9","2","1","1","1","2","2"
"32","1986","1","2","1","1","2","3","11","1","3","1","2","1","2","2","2","2","2","2","1","1","2","1","4","3","2","3","2","3","5","4","5","7","6","6","7","6","5","1","1","3","1","2","1","2","1","2","2","1","2","2","2","","","","It is important to know or to be concern about politic","2","2","3","8","9","7","2","2","1","3","3","2"
"33","1975","1","1","1","4","1","4","8","5","4","5","5","4","5","4","5","5","5","4","5","5","4","5","5","4","5","5","5","7","6","7","7","7","6","7","7","7","6","1","1","3","1","1","1","1","1","1","1","1","1","2","1",""," / Tortillas con un glass of milk","","","1","1","2","10","8","9","1","1","2","2","1","1"
"34","1970","1","1","1","4","1","4","13","1","1","1","1","1","5","5","5","5","5","1","1","1","1","1","1","5","5","5","5","7","1","7","1","7","4","7","1","7","1","1","1","6","-99","2","2","2","1","4","2","1","4","1","1","","","All of the false statements made by Trump upset me.","","4","1","5","3","3","4","1","1","7","7","7","7"
"35","1983","1","1","1","6","2","5","7","5","4","3","4","3","2","3","4","3","4","5","4","3","2","3","4","3","4","3","4","7","6","5","6","5","4","5","6","7","6","1","1","2","2","1","2","1","1","2","2","2","2","2","2","","i love","","","3","2","2","8","8","7","3","2","2","2","2","3"
"36","1959","1","1","1","2","7","7","7","3","3","3","3","3","4","4","4","4","5","2","2","2","2","2","3","3","3","4","4","5","3","5","2","6","5","5","2","6","4","1","17","4","2","1","2","1","1","2","2","3","4","3","2","","","LIBERALS MAKE ME ANGRY, LEAVE MY GUNS ALONE AND QUIT LETTING VIOLENT CRIMINALS PLEA BARGAIN OR GET OUT OF JAIL EARLY OR AT ALL.","","1","3","1","7","9","3","1","1","4","3","3","3"
"37","1981","1","1","1","4","1","1","12","4","5","5","4","4","4","5","5","4","4","3","3","4","4","4","5","4","3","4","3","7","6","6","7","6","7","5","6","7","6","1","1","5","1","1","1","1","1","3","1","1","1","1","1","","very good","","","1","1","1","10","9","9","1","1","1","2","1","1"
"38","1953","1","1","1","4","2","4","15","1","1","1","2","2","2","4","4","3","4","3","3","3","1","2","3","3","2","4","3","5","2","7","2","6","3","5","1","6","3","1","1","3","2","2","2","2","1","4","2","1","2","1","2","","","The Republican's refusal to look at Obama's Supreme Court Nominee and blatantly refuse to do so. It is against the good of the country and in their own self-interest. Makes me want to fire all of them. ","","4","2","7","3","6","2","1","2","7","7","7","7"
"39","1946","1","2","1","5","4","5","5","4","4","2","3","2","3","3","2","3","2","3","4","4","3","3","2","2","2","3","2","4","5","5","5","5","5","4","3","4","4","1","7","7","2","1","2","1","1","1","1","3","3","3","3","","ate cereal and milk...felt happy.....enjoyed the nice weather","","","2","4","4","8","8","9","1","2","5","5","4","4"
"40","","1","2","2","3","1","4","1","5","4","1","4","1","4","4","1","1","4","4","4","4","3","4","1","1","4","4","4","1","1","6","7","7","7","7","1","7","1","2","1","1","2","2","2","2","1","4","2","2","1","2","2","","","","Currently Im thinking of our present election. If Trump wins I truly believe it will be WW3","2","3","6","5","1","7","1","3","7","7","3","6"
"41","1980","1","1","1","6","1","1","13","4","4","4","4","3","3","1","4","4","4","4","4","3","4","3","3","2","3","3","3","5","4","3","3","2","5","2","1","4","2","1","1","5","1","1","1","1","1","2","2","1","2","1","1","","","","Don't know what ","2","1","2","7","6","6","2","2","1","2","3","3"
"42","1971","1","2","2","2","1","4","7","5","4","4","4","4","1","3","1","4","3","4","3","3","3","3","1","1","2","4","4","6","2","7","5","5","5","7","4","4","1","1","14","1","2","2","2","1","1","2","3","2","1","3","1","","I ate a turkey, cheese,lettuce,mayo and wheat bread sandwich that was pre wrapped and preprepared by Walmart Deli. It was smoky flavored turkey!","","","1","1","4","8","8","0","2","7","6","6","7","6"
"43","1960","1","2","1","3","3","6","6","4","2","2","2","3","5","4","3","3","4","2","2","2","3","2","5","4","4","5","3","4","5","7","1","3","5","4","1","6","7","1","1","2","2","2","2","2","1","4","3","1","5","1","2","no","","","","4","3","7","7","7","4","1","6","7","7","7","7"
"44","1980","1","2","1","4","6","2","8","2","2","3","1","3","2","5","3","4","4","3","4","3","4","4","1","1","2","2","2","5","4","4","5","5","5","2","5","3","4","1","18","6","1","1","1","1","1","2","2","2","2","2","2","Very good","","","","2","2","2","8","7","8","1","1","2","1","2","1"
"45","1976","1","1","1","6","7","4","10","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","-99","3","3","3","3","4","4","4","4","4","4","4","4","4","4","1","18","6","2","2","2","2","1","2","3","1","2","1","1","","eat breakfast pancakes with orange juice / ","","","3","2","2","6","6","6","2","2","3","2","3","3"
"46","1968","1","1","1","6","4","2","15","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","1","1","1","2","2","2","2","1","1","2","3","3","1","4","what would make me angry, would rather allow abortion, I disagree with that because each should be born and live, we are all entitled","","","","4","4","4","4","4","4","4","5","5","5","5","5"
"47","1940","1","1","1","5","5","4","6","3","3","3","2","3","3","4","3","3","4","2","3","3","2","2","4","4","3","4","3","4","3","5","3","4","5","5","4","5","3","1","18","1","2","1","1","1","1","4","2","1","3","3","2","","I had oatmeal, with 2 scoops of oatmeal, some cinnamon, a spoon of brown sugar, a packet of instant oatmeal, strawberries and milk.  I had a 5 oz glass / of milk, and then a 5 oz glass of cranberry juice cocktail.  I was happy to eat / my breakfast, as I listened to WFMT.","","","2","3","2","6","6","3","1","3","4","4","5","4"
"48","1954","1","2","5","1","7","4","3","2","1","2","1","1","2","1","2","1","2","4","4","4","4","3","1","4","4","1","1","3","2","6","6","4","1","2","2","3","3","1","6","8","2","1","2","2","1","4","2","1","1","1","3","","Coffee / Milk coffee","","","1","1","1","6","6","6","1","1","4","1","2","2"
"49","1973","1","1","1","4","2","4","8","5","5","4","3","2","3","5","3","3","5","1","1","1","1","1","3","3","3","5","4","6","4","6","2","6","6","7","1","7","7","1","1","4","1","1","2","2","1","2","3","1","1","1","1"," / I felt angry with my son, I had bad behavior","","","","4","-99","-99","0","3","8","1","1","5","2","4","4"
"50","1980","1","1","1","6","1","1","12","1","2","3","5","4","3","1","2","3","5","4","3","1","2","3","5","4","3","1","2","7","6","6","7","6","7","6","7","6","7","1","1","4","1","1","2","2","1","2","2","1","1","1","1","Quality very ","","","","1","1","1","9","9","9","1","1","1","1","1","1"
"51","1959","1","1","1","4","7","7","3","5","5","5","5","5","5","5","5","5","5","5","5","5","1","1","1","5","1","1","5","7","1","7","1","7","7","7","7","7","7","1","7","5","2","1","2","1","1","2","1","2","4","1","5","","","","Donald J Trump needs to win the Presidency of the U.S. A . this election because he tells the people the way it is and the true reality of what is going on in the U.S and the rest of the world.  If Hillary Clinton wins this election it will send a bad message to the young and old, black and white and all of  the other races and nationalities in the world and the U.S alike and that message is that you can cheat, lie, be a political bully,  and do anything underhanded and still come out a winner because that is what Hillary Clinton did and I won the highest office in the land of the U.S.   I have read an interesting and true fact and that is that Richard Nixon erased 18 min of a tape and resigned ( Watergate scandal) and Hillary Clinton deleted 30,000 emails and am running for President of the United States.  There is something wrong with our nation when we embrace people that do anything to win and do not emprise people that tell us the truth.  I am voting for Donald J Trump and will not waver on my convictions for the reasons expressed above.      ","1","5","7","10","10","0","1","1","7","1","7","7"
"52","1986","1","1","1","6","1","3","10","4","4","3","2","3","3","3","4","4","4","2","2","2","1","4","4","4","4","4","4","4","4","5","3","5","4","5","3","4","4","1","1","3","1","1","2","2","1","1","1","2","1","1","1","","","","we need more","1","1","3","5","5","5","1","2","2","2","2","2"
"53","1986","1","1","1","4","2","2","10","4","3","3","4","3","2","2","2","3","3","3","4","4","2","2","2","3","2","3","3","4","5","5","5","5","4","5","3","3","4","1","1","5","2","1","2","2","1","3","2","1","4","1","1","I was robbed at gunpoint at my job.  I never felt so unsafe in my life.  Afterwards, I was boiling mad.","","","","2","1","5","6","5","3","1","2","3","2","4","4"
"54","10980","1","1","1","6","1","1","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","1980","1","1","1","4","1","6","11","5","4","3","4","5","4","5","4","5","4","-99","5","5","4","5","4","3","4","5","5","7","-99","5","6","7","7","6","7","6","7","1","1","3","1","1","1","2","1","1","1","1","1","1","2","","Is neccesary in the nation","","","1","1","1","10","9","10","1","1","2","1","1","2"
"56","1988","1","1","1","2","1","2","7","5","4","4","5","4","4","3","4","4","4","4","3","5","4","4","4","4","3","4","5","7","6","5","6","6","6","5","5","4","6","1","1","4","2","2","2","2","1","2","1","1","1","1","2","","","I al not dure about it","","1","2","2","9","8","5","1","3","2","1","1","4"
"57","1980","1","1","1","5","1","4","12","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","7","6","7","6","7","6","7","6","7","6","1","1","3","1","2","1","1","1","1","1","1","1","1","2","","","","Quality","1","2","2","9","10","9","1","2","1","2","1","1"
"58","1982","1","2","1","5","2","4","8","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","1","1","3","3","3","3","4","4","4","2","4","4","2","2","4","4","1","1","2","1","1","1","2","1","1","2","1","5","2","2","","","Im not sure","","2","2","3","5","5","5","4","4","4","4","4","4"
"59","1934","1","1","1","2","3","4","9","2","2","1","-99","1","4","4","4","4","3","4","4","4","4","4","2","2","2","2","3","2","5","6","4","2","2","3","2","4","5","2","1","1","2","1","2","2","1","4","2","1","3","1","2","","n/c","","","1","2","4","0","0","8","1","2","2","2","3","3"
"60","1993","1","2","3","2","3","2","1","5","4","5","4","3","3","3","2","4","3","4","4","4","3","1","2","2","3","4","2","5","4","4","4","7","4","4","5","4","2","2","2","1","2","2","2","2","2","4","1","1","1","3","1","","","I felt very angry when it was nationally let out that donald trump was running for president with no political experience. I feel that this is the most crazy election in history and i have no stance for either candidate.","","4","1","7","8","8","5","4","4","7","7","7","4"
"61","1990","1","1","1","4","2","6","7","4","4","3","2","2","3","4","4","4","5","2","2","2","2","1","2","2","2","4","3","7","3","5","4","6","5","3","2","6","5","1","18","8","-99","1","2","2","1","2","3","1","2","1","2","","","","well i dont have any complain with this theme.. the politics is was normal to me","2","1","3","4","5","7","2","3","6","4","5","4"
"62","1986","1","1","1","4","2","4","8","1","1","1","1","1","1","3","1","1","5","1","1","1","1","1","4","1","4","5","3","4","4","5","4","6","5","4","4","6","4","1","1","3","2","2","2","2","1","3","2","1","2","1","1","","","I get angry while I saw the dead because of the Islamic state. we have to kill them all.","","2","2","4","3","3","7","2","2","7","2","2","2"
"63","1958","1","2","1","4","7","6","10","4","2","1","2","2","3","4","4","3","5","4","4","3","2","2","3","3","3","4","3","3","4","7","4","6","5","5","5","6","3","2","11","3","2","2","2","2","1","4","2","1","4","1","3","","","","","4","3","6","9","8","1","1","2","7","7","7","7"
"64","1980","1","1","1","6","1","4","12","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","5","6","5","7","6","7","5","6","7","5","1","1","2","1","1","1","1","1","2","1","1","2","1","2","","","","all                                                                                                   ","2","2","1","8","7","8","1","1","2","2","1","1"
"65","","1","2","1","2","7","4","5","4","4","4","4","4","4","2","2","2","3","3","3","4","2","4","3","2","2","3","2","4","6","6","6","5","4","4","3","3","2","1","9","6","2","1","2","1","1","3","1","3","4","3","4","","","","","1","2","1","6","7","0","1","1","4","4","3","4"
"66","1983","1","1","1","5","1","4","10","4","3","2","4","2","2","4","3","5","4","3","3","3","2","3","2","1","2","4","3","6","4","5","3","7","6","7","4","5","3","1","1","5","1","1","2","2","1","1","2","2","2","1","1","good","","","","2","3","4","8","2","5","3","1","4","4","4","2"
"67","1995","1","1","1","2","1","1","4","5","5","4","5","4","3","2","2","2","3","1","2","3","1","1","4","4","4","3","4","2","2","6","5","5","6","6","2","4","2","1","2","1","2","1","2","2","2","4","2","1","1","1","1","","I had a bowl of honey nut cheerios, but I felt bad about it because I have a weight problem. ","","","3","3","4","5","6","5","1","6","5","5","5","5"
"68","1986","1","1","1","4","1","6","5","4","2","2","2","1","2","5","2","4","5","1","2","4","2","1","2","2","4","5","4","6","7","6","6","6","6","7","6","6","2","1","1","3","1","2","1","1","1","3","3","1","2","1","2","","","","  The real problem is that money has taken over politics. Which ever candidate has the most money to spend wins about 95% of the time--in other words we don't have -elections-, we have -auctions-. ","3","3","3","6","4","6","1","2","2","3","1","2"
"69","1949","1","1","1","2","6","5","3","2","2","1","1","1","2","5","4","5","2","1","2","1","1","1","2","1","2","4","5","3","3","3","1","2","7","6","5","6","3","1","18","4","2","2","2","2","1","3","1","1","2","3","4","","","","I have always lived in a state where the winners of presidential primaries have pretty much been determined by the time I had a chance to vote.  I have always hated that because I often never had an opportunity to vote for my preferred candidate.  Primaries should be regional and the order rotated every four years so once in awhile every voter has a chance to be first.  ","1","3","3","8","9","2","1","1","7","7","6","7"
"70","1953","1","1","1","1","4","4","5","4","4","3","3","4","4","5","4","3","4","3","3","3","1","2","4","5","4","4","4","6","1","6","2","7","6","6","2","6","2","2","18","2","2","2","2","2","1","2","1","3","4","3","1","","Bacon egg & cheese crosuant, tasted so good made me feel good","","","1","1","2","10","10","5","1","4","7","7","7","7"
"71","1985","1","1","1","5","1","7","10","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","6","5","6","5","6","5","6","5","6","5","1","1","4","1","2","2","2","1","3","1","2","3","1","2","good","","","","1","1","1","10","10","10","1","4","1","3","1","3"
"72","1978","1","1","1","6","1","7","10","5","4","5","4","5","5","5","4","5","5","5","5","5","5","5","4","5","5","4","5","7","7","7","7","7","7","7","7","7","6","1","1","3","1","1","1","1","1","4","1","3","1","3","3","goods","","","","5","1","1","10","10","10","1","1","1","1","1","1"
"73","1988","1","1","1","4","1","4","10","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","1","18","4","1","1","1","2","1","-99","1","2","3","1","1","","","","Nice a favor","1","1","1","5","5","5","1","1","1","1","1","1"
"74","1979","1","1","5","2","3","7","6","3","3","1","1","3","5","5","5","1","5","2","2","2","1","1","5","2","1","5","5","7","7","7","5","7","7","7","3","6","2","1","2","4","2","1","1","1","1","1","1","3","2","2","1","","","","Well I thought about politics back when emergency unemployment was discontinued. This cause a very huge financial problem for me and my fam that I had to write a letter to a politician. The letter was very strong and enforced. I definitely got more involved in politics and very assertive about it. This was a time I thought of politics.","1","1","4","10","10","0","1","1","1","5","3","1"
"75","1986","1","1","1","4","1","4","6","1","1","1","1","1","1","5","1","3","4","3","1","1","2","1","4","2","1","4","2","1","1","1","3","5","4","6","2","6","2","1","1","4","2","2","1","2","1","3","3","3","5","1","2","","","","various times ahead in this election, trump can win the elections and that poses a danger to USA, would change many things in this country with this subject.","1","2","1","8","6","8","1","1","3","2","4","1"
"76","1990","1","2","1","2","3","2","3","4","4","3","5","5","2","2","2","2","3","3","4","4","2","3","2","2","2","4","2","1","5","3","6","5","6","3","7","2","6","2","2","2","2","2","2","1","2","4","2","1","2","3","1","","I had two cinnatoast waffles. I felt exhausted, like I just needed to shovel them down my throat and start my day. ","","","2","3","4","8","8","2","7","5","7","7","7","6"
"77","1980","1","2","1","1","1","2","8","4","4","3","4","2","2","1","1","2","1","2","3","1","2","1","2","1","2","1","1","7","5","7","4","7","4","7","6","7","7","1","1","3","1","2","2","2","1","1","1","1","1","1","1","","","is very insecure about the future","","1","1","2","10","10","9","1","2","1","2","1","2"
"78","1960","1","2","1","2","4","3","5","4","3","3","3","3","3","3","3","3","4","3","3","4","2","3","3","3","3","3","3","5","3","5","4","5","3","5","4","5","3","1","2","1","2","2","2","2","1","3","1","1","4","3","2","","coffee. warm","","","4","3","7","10","10","0","3","7","7","7","7","7"
"79","1963","1","1","1","3","6","6","1","5","3","3","4","3","3","3","5","4","1","1","3","4","1","3","4","5","3","3","4","5","1","7","6","4","3","7","1","6","2","2","18","2","2","2","2","2","2","2","2","2","3","3","2","","I had a bowl of Boo Berry cereal and fresh coffee. It gave me energy and made me think back to my childhood. I love cereal and eat it most mornings for breakfast.","","","2","3","4","6","4","3","1","3","6","6","7","6"
"80","1985","1","2","1","3","6","4","4","4","5","2","5","3","3","2","2","4","5","5","5","5","3","5","1","1","1","2","3","7","7","6","7","7","1","5","1","4","1","2","18","5","2","2","2","2","1","4","1","1","3","3","1","","","Im angry with the racism brought into politics. All lives matter and this race crap is getting out of hand. American citizens burning the flag and sitting during the national anthem. Its an outrage people fighting for this country are dieing overseas families lost and for what? It needs to stop","","1","2","4","9","9","0","1","2","7","7","7","7"
"81","1966","1","2","2","4","1","1","7","5","5","3","-99","-99","1","2","-99","2","-99","1","-99","4","1","1","5","1","1","5","1","4","5","4","5","5","4","6","4","4","2","1","1","1","2","2","2","2","1","4","1","1","1","1","2","I was angry because i failed to qualify for a medical program that I really needed because i was over the incone limit by 3 dollars.","","","","2","1","4","6","9","1","2","7","7","7","7","7"
