CASEID,DEM_RACEETH,CANDAFF_ANGDPCOFT,CANDAFF_ANGRPCOFT,PID_X,EFFICPO_CARESTD,DEM_EDUGROUP,GENDER_RESPONDENT,LIBCPRE_SELF,DHSINVOLV_CONTACT1,MOBILPO_RMOB,MOBILPO_SIGN,DHSINVOLV_MARCH,DHSINVOLV_NETPETITION,MOBILPO_OTHERWORK,MOBILPO_CTBPTY,MOBILPO_CTBCAND,MOBILPO_CTBOTH,MOBILPO_RALLY,DHSINVOLV_BOARD,TRUSTGOV_TRUSTGSTD
 747, 1,-1, 2, 3,-6, 5,1, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 2
 748, 3,-1, 4, 2, 2, 3,2, 4, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 749, 3, 4, 4, 5, 2, 2,2, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1,-1
 750, 1,-1,-1, 3,-1, 3,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 751, 3,-1, 1, 2,-1, 5,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 752, 1,-1,-1, 3,-1, 3,1, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
 753, 1, 3,-1, 7, 2, 4,2, 6, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1,-1
 754, 2,-1,-1, 3,-1, 5,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 755, 1,-1,-1, 4,-1, 4,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 756, 1,-1,-1, 4,-1, 2,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-8
 757, 3,-1,-1, 3, 2, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 758, 1, 4,-1, 5,-6, 3,2, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 759, 3,-1, 3, 1, 2, 3,1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1,-1
 760, 1,-1,-1, 2,-1, 1,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 761, 3,-1, 2, 1,-1, 2,2, 4, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 3
 762, 3,-1,-1, 3,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 763, 1,-1,-1, 3,-6, 3,1, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 764, 3,-1,-1, 7,-1, 3,1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2
 765, 1, 4, 2, 3,-1, 3,1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
 766, 1,-1, 2, 1, 4, 5,2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 767, 3,-1,-1, 1,-1, 3,2, 4, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 768, 3,-1,-1, 1,-1, 3,1, 5, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2
 769, 3,-1,-1, 1,-6, 1,1,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 770, 3, 3, 4, 2, 3, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 771, 3,-1,-1, 5,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 772, 3,-1, 4, 3, 4, 3,1,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 773, 3,-1,-1, 6, 3, 4,1, 4, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2,-1
 774, 3,-1, 4, 5,-1, 3,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 775, 3,-1,-1, 1,-1, 2,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2
 776, 3,-1,-1, 1, 2, 1,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 777, 3,-1, 4, 2,-1, 4,2, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3
 778, 3,-1,-1, 3, 1, 2,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 779, 3,-1,-1, 5,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 780, 3,-1, 1, 1,-1, 3,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 781, 3,-1,-1, 2,-6, 1,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 3
 782, 3,-1,-1, 3, 1, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 783, 3, 5,-1, 4,-1, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 784, 1, 2,-1, 5,-1, 2,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 785, 1,-1,-1, 3, 4, 2,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 786, 1, 4, 4, 1,-1, 2,2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 787, 4,-1, 1, 5, 1, 2,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 788, 3,-1,-1, 2,-1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 789, 3,-1, 2, 2, 2, 3,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 790, 4,-1,-1, 2,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 791, 3,-1,-1, 5, 1, 1,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 792, 1,-1, 4, 4, 2, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 793, 3,-1, 2, 1,-1, 3,2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 3
 794, 3,-1,-1, 2, 2, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 795, 3,-1,-1, 4, 2, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 796, 3, 4, 3, 3,-1, 4,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2
 797, 3,-1, 4, 5, 2, 1,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 798, 3,-1,-1, 5, 3, 2,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 799, 3,-1,-1, 1, 5, 5,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 800, 3,-1,-1, 3, 2, 4,2, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 801, 3,-1,-1, 2, 1, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 802, 3,-1,-1, 4,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 803, 1,-1,-1, 2, 3, 1,2,-2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 804, 3,-1, 5, 2,-1, 2,1,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 805, 3,-1, 2, 1,-6, 2,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 806, 3,-1,-1, 1,-6, 4,1, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 807, 1,-1,-1, 7,-6, 4,1, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 808, 3,-1, 4, 2, 1, 3,2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 809, 3,-1, 1, 3,-6, 1,2, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 810, 3,-1, 1, 1, 2, 3,2,-2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 811, 3, 3, 4, 3,-1, 3,2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
 812, 1, 3, 4, 5, 2, 4,2, 6, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2,-1
 813, 1, 4,-1, 6, 3, 2,2, 6, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2,-1
 814, 1,-1,-1, 3,-1, 4,2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
 815, 3, 2,-1, 6, 4, 4,1, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 816, 2,-1, 1, 1, 4, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 817, 3, 4, 4,-2, 2, 4,2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 818, 3, 2,-1, 4,-1, 3,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 819, 1, 3,-1, 5,-6, 4,2, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 820, 2,-1, 2, 1, 2, 3,2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 821, 1, 4,-1, 7, 4, 4,2, 6, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 822, 1,-1, 2, 3,-1, 4,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 823, 2,-1,-1, 2,-1, 5,2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 824, 2,-1,-1, 1,-1, 3,1,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 825, 3,-1, 1, 1,-7, 3,2,-2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7, 4
 826, 2,-1,-1, 1,-1, 2,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 827, 2,-1, 4, 1, 4, 3,2,-2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2,-1
 828, 2,-1,-1, 1,-1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 829, 1, 2,-1, 6,-1, 4,1, 5, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 4
 830, 1, 2,-1, 5,-1, 3,2,-2,-8, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 3
 831, 3, 5, 4, 1,-1, 3,2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 832, 2,-1,-1, 1,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 833, 3,-1,-1, 3, 4, 3,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 834, 3,-1, 4, 2, 2, 4,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 835, 1, 4, 4, 3, 1, 3,2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 836, 3,-1,-1, 2, 2, 2,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 837, 3,-1,-1, 1, 4, 4,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 838, 3, 3, 4, 5, 2, 2,1, 5, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 839, 3,-1,-1, 3, 4, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 840, 3,-1, 1, 1,-1, 1,2,-8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 841, 3,-1,-1, 4,-6, 3,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 842, 3,-1, 1, 1,-1, 3,2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 843, 3,-1,-1, 1,-1, 2,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 844,-9,-1,-1,-2,-1, 3,2,-9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 845, 3,-1, 4, 3,-1, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 846, 3, 4,-1, 2,-1, 4,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 847, 2, 4,-1, 1, 2, 3,2,-2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 848, 3, 1,-1, 7,-1, 3,1, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 849, 3, 4,-1, 7, 3, 5,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 850, 3, 3,-1, 7,-1, 1,2,-9, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 851, 3,-1, 1, 1, 4,-9,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 852, 3, 4,-1, 1,-1, 3,2,-9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 853, 3,-1, 4, 1,-1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 854, 2,-1, 4, 1, 1, 2,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 855, 2,-1,-1, 1, 1, 1,2, 4, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
 856, 3,-1, 1, 1,-1, 2,1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 857, 3, 3,-1, 4, 1, 3,2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 858, 1, 3, 4, 5, 1, 3,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 859, 3,-1, 2, 4,-1, 1,2,-8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-8
 860, 3,-1,-1, 5, 2, 2,1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 861, 1, 4, 3, 3,-1, 4,2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3
 862, 1, 3, 4, 7, 4, 2,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 863, 1, 4,-1, 2,-1, 5,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 864, 3, 1,-1, 6, 1, 3,2, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 865, 3,-1, 3, 4, 2, 1,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 866, 3, 4, 3, 1, 1, 2,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 867, 3,-1,-1, 4,-1, 1,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 868, 1, 2,-1, 7,-1, 4,2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 869, 3, 4, 2, 4,-1, 5,2, 4, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 4
 870, 1, 2,-1, 6,-1, 5,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 871, 4,-1,-1, 3,-6, 5,2, 2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 872, 4,-1, 4, 3,-1, 3,2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3
 873, 1, 3,-1, 7,-1, 4,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 874, 1, 2,-1, 5,-1, 3,1, 4, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2
 875, 1, 2,-1, 5,-6, 3,2, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 4
 876, 1, 4, 2, 5, 3, 4,1, 5, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1,-1
 877, 1, 4,-1, 6, 2, 1,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 878, 1, 2,-1, 7,-1, 5,2, 6, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 3
 879, 1, 3,-1, 5,-1, 5,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 880, 1,-1,-1, 6, 2, 5,1, 6, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1,-1
 881, 4, 4, 4, 4, 2, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 882, 1, 4,-1, 7,-1, 3,2, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 883, 2,-1, 2, 1,-1, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 884, 1,-1,-1, 7,-6,-2,2, 6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 3
 885, 2,-1,-1, 4, 1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 886, 1, 2, 4, 5, 2, 2,2, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 887, 2,-1,-1, 2,-1, 2,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 888, 1,-1,-1, 5,-1, 2,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 889, 1,-1,-1, 4,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 890, 2, 4, 4, 2,-1, 2,2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 891, 2,-1,-1, 3,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 892, 2,-1, 1, 2, 4, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 893, 2,-1, 2, 4,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
 894, 2,-1,-1, 3,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
 895, 4, 4,-1, 3,-1, 3,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 896, 3,-1, 1, 1,-1, 2,1,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 897, 1,-1, 4, 1,-1, 1,2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3
 898, 3,-1,-1, 3,-1, 1,2,-2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1
 899, 1,-1, 4, 1, 2, 3,2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2,-1
 900, 3,-1,-1, 2,-1, 2,2, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 901, 1,-1,-1, 2,-1, 5,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 902, 4,-1, 1, 1, 1, 3,1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2,-1
 903, 1,-1,-1, 7, 5, 4,2, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 904, 1,-1,-1, 3,-1, 2,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 905, 1, 3,-1, 6, 2, 4,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 906, 1, 3, 2, 4,-1, 5,1, 4, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 3
 907, 3,-1,-1, 1,-1, 1,1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
 908, 3, 2,-1, 5,-6, 1,1, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 909, 3,-1,-1, 3,-6, 1,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 910, 3, 4, 4, 2,-1, 3,2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
 911, 3,-1, 1, 1, 3, 1,2, 4, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
 912, 3,-1,-1, 2,-1, 3,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 913, 3,-1, 3, 2,-1, 2,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 914, 3,-1,-1, 2,-6, 2,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 1
 915, 3,-1,-1, 3,-1, 1,2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 916, 1,-1, 2, 3, 1, 5,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 917, 1, 4, 4, 5,-8, 4,1, 6, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1,-1
 918, 1, 2,-1, 7,-1, 2,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 919, 1,-1,-1, 1, 3, 4,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 920, 1,-1,-1, 3, 3, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 921, 1, 2,-1, 5, 4, 4,1, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 922, 1,-1, 2,-2,-1, 2,2,-8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-8
 923, 1, 4, 4, 5,-1, 5,2, 5, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3
 924, 4,-1,-1, 3, 1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 925, 4,-1, 1, 2,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 926, 1,-1, 2, 1, 2, 2,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 927, 1,-1,-1, 4,-6, 3,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 928, 4,-1, 4, 3,-1, 1,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 929, 3,-1,-1, 4,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 930, 1, 4,-1, 6,-1, 3,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 931, 1, 4, 4, 2, 2, 4,1, 4, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2,-1
 932, 1,-1,-1, 6,-1, 4,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 933, 1,-1, 3, 5,-1, 1,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 934, 1, 2,-1, 5, 2, 3,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 935, 1, 4,-1, 6, 2, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 936, 1, 2, 2, 7, 1, 1,2, 7, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1,-1
 937, 1,-1,-1,-2,-1, 5,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 938, 1,-1,-1, 4,-1, 1,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 939, 1, 3,-1, 3,-1, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 940, 1, 4, 2, 1,-1, 5,1, 3, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 3
 941, 1, 3,-1, 7, 2, 3,2, 5, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2,-1
 942, 1,-1, 4, 3,-1, 1,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 943, 1,-1, 4, 3,-1, 2,2, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 4
 944, 1,-1,-1, 3,-1, 1,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 945, 1, 2, 4, 6,-1, 3,1,-2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1
 946, 1,-1,-1, 4, 2, 1,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 947, 1, 3,-1, 6, 2, 3,1, 6, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2,-1
 948, 1, 3,-1, 4, 1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 949, 1,-1, 2, 1, 1, 5,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 950, 3, 4, 4, 2, 2, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 951, 3,-1,-1, 3, 2, 3,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 952, 4, 4, 4, 4, 2, 1,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 953, 4, 1, 1, 4, 1, 1,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 954, 4,-1,-1, 1,-1, 1,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2
 955, 1,-1, 4, 3, 1, 2,1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1,-1
 956, 1,-1,-1, 5,-1, 4,2, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 957, 2,-1,-1, 1,-1, 3,1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2
 958, 2,-1, 3, 2,-1, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 959, 1, 1, 4, 7,-1, 2,1, 7, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 960, 1, 3,-1, 1, 1, 1,2, 4, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 961, 2,-1,-1, 1,-1, 4,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 962, 2,-1,-1, 1,-1, 2,2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 963, 2,-1, 2, 1, 2, 1,1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 964, 4,-1, 1, 1, 3, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 965, 2,-1, 1, 3, 1, 1,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 966, 4,-1, 3, 5, 2, 5,1, 5, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 967, 2,-1,-1, 1, 1, 3,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
