CASEID,v161116,v161121,v161236,v161158x,v161126,v161342,v161310a,v161270,v161215,v162011,v162010,v162012,v162013,v162014,v162016,v162017,v162018a,v162196,v162018b,v162019,v162216,v162215
300107, 1, 4, 1, 2, 3, 2, 1,13, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 4, 4
300109, 1, 5, 1, 4, 6, 2,-8,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2
300111, 5, 1, 4, 5, 4, 1, 1,11, 5, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1
300113, 2, 2, 1, 1, 2, 1, 1,95, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300116, 2, 4, 1, 2,99, 1, 0, 8, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300119, 1, 2, 2, 3, 4, 2, 1,11, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300121, 2, 3, 1, 1, 2, 2, 1,14, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2
300123, 5, 1, 5, 6, 5, 1, 1,12, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300124, 4, 2, 4, 6, 6, 1, 1,11, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2
300131, 1, 4, 1, 1, 2, 2, 1,16, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 4
300135, 2, 3, 1, 3, 3, 2, 1,12, 3, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
300136, 4, 1, 4, 5,99, 2, 1, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5
300137, 1, 5, 1, 1, 4, 1, 0,13, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
300140, 1, 5, 1, 1, 2, 2, 1,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 3
300142, 2, 2, 3, 5,99, 1, 1, 9, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300143, 2, 2, 2, 1, 2, 1, 0,10, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 3
300144, 2, 4, 2, 1,99, 2, 0,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300146, 1, 1, 1, 5, 4, 1, 1,13, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
300148, 2, 3, 2, 6, 4, 2, 1,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 4
300150, 2, 5, 5, 1,99, 2, 1, 9, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300151, 1, 5, 1, 3, 4, 2, 1,11, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300152, 1, 4, 1, 1, 2, 1, 1,14, 3, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 3
300153, 2, 2, 2, 5, 5, 2, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300154, 2, 2, 1, 5, 5, 2, 1, 9, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4
300155, 1, 2, 1, 1, 2, 1, 1,12, 3, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 4, 3
300161, 1, 5, 1, 2,99, 2, 1, 7, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300165, 2, 4, 1, 1, 2, 2, 0,14, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2
300168, 1, 5, 2, 1,-8, 1, 1,10, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2
300169, 1, 3, 2, 3, 2, 2, 0,13, 3, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 4, 1
300170, 2, 4, 1, 2,99, 2, 1, 7, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300171, 3, 5, 2, 6, 4, 1, 0, 9, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 4
300172, 5, 2, 2, 5, 4, 2, 1,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2
300175, 2, 1, 2, 3, 3, 1, 1,10, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3
300176, 1, 1, 1, 5, 4, 2, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 3
300177, 2, 4, 2, 2,99, 2, 0, 9, 4, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
300179, 2, 3, 1, 5, 6, 1, 1,13, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300180, 1, 2, 1,-9, 4, 2, 1,12, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 5, 4
300181, 1, 5, 1, 1, 4, 1, 1, 9, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3
300182, 1, 3, 2, 1,99, 2, 1,13, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300184, 3, 4, 1, 3, 4, 1, 0,13, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2
300185, 1, 2, 2, 3, 3, 1, 1,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300186, 2, 4, 2, 3, 2, 1, 1,14, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 4, 2
300187, 5, 1, 4, 5, 4, 1, 1,16, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1
300188, 3, 1, 2, 7, 6, 2, 1, 9, 4, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 3, 2
300195, 2, 2, 3, 7, 7, 2, 1,10, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300196, 4, 1, 3, 7, 6, 1, 1,13, 3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300198, 3, 4, 1, 2, 2, 2, 0,12, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2
300200, 1, 2, 2, 2, 4, 1, 1, 9, 2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300204, 1, 4, 1, 1, 2, 1, 1,10, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 4
300207, 4, 3, 3, 5, 5, 2, 1,13, 5, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2
300209, 2, 2, 2, 6, 5, 1, 1, 9, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
